Name,Link,Avatar,Desc,Type,Email
追风Holy,https://awslasasd.github.io/,https://philfan-pic.oss-cn-beijing.aliyuncs.com/img/20250202205611297.png,👦孩子你无敌了,0,''
小胖一族,https://lingzhiyxp.github.io/,https://avatars.githubusercontent.com/u/122017114?v=4,超帅键盘手0zgg,0,''
Tenktau,https://github.com/Tenktau,https://avatars.githubusercontent.com/u/61775365?v=4,Sidere mens eadem mutato.,0,''
Weichky's Blog,https://blog.weichky.com,https://assets.weichky.com/imgs/favicon.png,物不可穷也，故受之以未济。,0,''
Slowist's Notebook,https://slowist-lee.github.io/notebook/,https://slowist-lee.github.io/navigation/images/slowist-logo.jpg,Follow My Heart!( ง `ω´ )۶,0,''
Moni-aphia,https://moni-aphia.github.io/index.html,https://avatars.githubusercontent.com/u/157952976?v=4,无时无刻不游荡在希望的荒野,0,''
Wcowin's Blog,https://wcowin.work/,https://pica.zhimg.com/80/v2-74ecd899c7c4cc0258930eaff239a21b_1440w.webp,循此苦旅，以达星辰,1,''
咸鱼暄,https://xuan-insr.github.io,https://xuan-insr.github.io/logo.ico,咸鱼暄的代码空间！,1,''
Isshiki修,https://note.isshikih.top,https://avatars.githubusercontent.com/u/48550237?v=4,Isshiki修的笔记,1,''
Tony Crane,https://note.tonycrane.cc,https://avatars.githubusercontent.com/u/44120331?v=4,Tony Crane的博客,1,''
小角龙,https://zhang-each.github.io/My-CS-Notebook/,https://zhang-each.github.io/images/self-portrait/avatar.jpeg,小角龙的学习笔记,1,''
Jiepeng,https://note.jiepeng.tech/,https://avatars.githubusercontent.com/u/65861390?v=4,Jiepeng's notes,1,''
hobbitqia,https://note.hobbitqia.cc,https://avatars.githubusercontent.com/u/89443407?v=4,hobbitqia的笔记本,1,''
方轩固(Shikai Fang),https://xuangu-fang.github.io/,https://pic1.zhimg.com/v2-fab0b4cf2e99a38926358c675370e6fb_xll.jpg?source=32738c0c&needBackground=1,博学之审问之慎思之明辨之笃行之,1,''
周鑫的个人博客,https://www.zhouxin.space,https://pics-zhouxin.oss-cn-hangzhou.aliyuncs.com/Image_1712033897663.jpg,'Time goes on. We live. We learn.',1,''
